"As men grow old enough to look back on their lives, any pain they have does not come from the things at which they failed, but the things they never tried.",Antwan McLean
Courage isn’t having the strength to go on – it is going on when you don’t have strength.,Napoleon Bonaparte
"If you don’t turn your life into a story, you just become a part of someone else’s story.",Terry Pratchett
"When you realize how perfect everything is, you will tilt your head back and laugh at the sky.",Buddha
"Great minds discuss ideas, average minds discuss events, small minds discuss people.",Eleanor Roosevelt
"Be more concerned with your character than your reputation, because your character is what you really are, while your reputation is merely what others think you are.",John Wooden
Success is going from failure to failure without losing your enthusiasm.,Winston Churchill
"Remember that happiness is a way of travel, not a destination.",Roy L. Goodman
"When one door of happiness closes, another opens, but often we look so long at the closed door that we do not see the one that has been opened for us.",Helen Keller
Never underestimate the power of dreams and the influence of the human spirit. We are all the same in this notion: The potential for greatness lives within each of us.,Wilma Rudolph
People do not decide to become extraordinary. They decide to accomplish extraordinary things.,Edmund Hillary
"Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.",Albert Einstein
"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.",Reinhold Niebuhr
Silence is the most powerful scream.,Anonymous
"You have a powerful army, Kublai, but the best force is one you do not have to use.",Conn Iggulden
You can never be a giant if you do not challenge the powers much more powerful than you!,Mehmet Murat ildan
We rise by lifting others.,Germany Kent
